Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-02,UNIVPHOTO,EQ,65.95,78.7,78.7,57.05,57.05,61.45,63.78,1465,9344335000.0,40,950,0.6485
2020-03-03,UNIVPHOTO,EQ,61.45,61.5,62.5,54.55,57.65,57.65,58.2,3123,18175740000.0,57,1516,0.4854
2020-03-04,UNIVPHOTO,EQ,57.65,55.0,58.95,51.0,55.85,54.95,53.28,1189,6335275000.0,50,883,0.7426
2020-03-05,UNIVPHOTO,EQ,54.95,50.05,65.9,50.05,56.0,59.8,58.87,2633,15500804999.999998,59,828,0.3145
2020-03-06,UNIVPHOTO,EQ,59.8,66.4,66.4,50.05,59.45,58.4,56.09,1310,7347500000.0,118,696,0.5313
2020-03-09,UNIVPHOTO,EQ,58.4,47.0,59.9,47.0,50.6,51.3,52.71,3038,16011965000.0,81,1878,0.6182
2020-03-11,UNIVPHOTO,EQ,51.3,45.7,58.3,42.35,50.0,50.0,51.56,3784,19509430000.0,85,1902,0.5025999999999999
2020-03-12,UNIVPHOTO,EQ,50.0,41.05,54.4,41.05,50.0,51.05,49.51,5844,28933450000.0,392,3456,0.5914
2020-03-13,UNIVPHOTO,EQ,51.05,41.55,50.4,41.0,45.55,46.35,44.6,7622,33991759999.999996,121,3058,0.4012
2020-03-16,UNIVPHOTO,EQ,46.35,45.0,49.9,39.2,42.5,43.4,44.66,1227,5479900000.0,50,661,0.5387
2020-03-17,UNIVPHOTO,EQ,43.4,42.05,52.0,38.0,52.0,49.0,46.85,3590,16817970000.000002,151,1950,0.5432
2020-03-18,UNIVPHOTO,EQ,49.0,49.0,56.75,42.05,45.0,45.5,46.55,923,4296310000.0,126,451,0.4886
2020-03-19,UNIVPHOTO,EQ,45.5,45.0,50.0,40.0,44.95,45.4,42.81,4006,17149129999.999998,146,2477,0.6183
2020-03-20,UNIVPHOTO,EQ,45.4,48.0,53.5,42.5,53.5,50.05,47.79,5833,27873355000.0,569,2954,0.5064
2020-03-23,UNIVPHOTO,EQ,50.05,40.2,60.0,40.2,60.0,57.25,53.18,2702,14370329999.999998,72,1851,0.685
2020-03-24,UNIVPHOTO,EQ,57.25,62.0,62.95,51.55,59.2,56.3,59.78,7140,42684325000.0,118,5295,0.7415999999999999
2020-03-25,UNIVPHOTO,EQ,56.3,50.9,61.9,50.9,60.9,58.9,57.16,2055,11745825000.0,112,1822,0.8865999999999999
2020-03-26,UNIVPHOTO,EQ,58.9,62.85,62.85,55.0,62.6,59.6,58.03,648,3760340000.0,43,454,0.7006
2020-03-27,UNIVPHOTO,EQ,59.6,55.2,59.0,55.1,58.0,56.35,56.18,1918,10775535000.0,52,1252,0.6528
2020-03-30,UNIVPHOTO,EQ,56.35,51.2,59.9,51.2,51.5,53.75,53.05,423,2244085000.0,20,200,0.4728
2020-03-31,UNIVPHOTO,EQ,53.75,52.25,53.8,52.25,52.65,52.65,52.5,716,3759325000.0,13,689,0.9623
2020-04-01,UNIVPHOTO,EQ,52.65,54.95,57.0,51.0,53.45,53.05,55.15,13734,75746735000.0,41,13726,0.9994
2020-04-03,UNIVPHOTO,EQ,53.05,52.0,52.0,50.1,50.75,50.85,50.9,261,1328385000.0,9,249,0.9540000000000001
2020-04-07,UNIVPHOTO,EQ,50.85,50.85,55.5,46.55,54.0,54.0,52.16,1066,5559935000.0,43,768,0.7205
2020-04-08,UNIVPHOTO,EQ,54.0,57.65,57.95,57.65,57.95,57.95,57.69,585,3375030000.0000005,17,576,0.9845999999999999
2020-04-09,UNIVPHOTO,EQ,57.95,54.3,57.95,54.0,57.5,57.5,54.21,1522,8250575000.0,13,1302,0.8555
2020-04-13,UNIVPHOTO,EQ,57.5,58.0,58.0,51.25,53.05,53.05,54.8,989,5419530000.0,24,893,0.9029
2020-04-15,UNIVPHOTO,EQ,53.05,57.4,59.5,52.0,58.95,57.5,57.49,2687,15448020000.000002,57,2110,0.7853
2020-04-16,UNIVPHOTO,EQ,57.5,57.5,57.5,53.05,54.4,54.4,55.06,1014,5583210000.0,35,589,0.5809000000000001
2020-04-17,UNIVPHOTO,EQ,54.4,55.0,59.2,53.75,57.7,57.7,57.52,1566,9007000000.0,35,1474,0.9413
2020-04-20,UNIVPHOTO,EQ,57.7,55.55,59.35,52.0,54.65,54.45,53.89,12691,68392569999.99999,95,10713,0.8441
2020-04-21,UNIVPHOTO,EQ,54.45,54.3,57.0,48.0,54.0,54.0,53.15,2124,11289025000.0,32,1871,0.8809
2020-04-22,UNIVPHOTO,EQ,54.0,52.0,56.0,49.15,55.5,54.75,53.98,1115,6018840000.0,35,966,0.8664000000000001
2020-04-23,UNIVPHOTO,EQ,54.75,47.1,62.4,45.8,59.1,59.1,56.56,5319,30083825000.0,95,4144,0.7791
2020-04-24,UNIVPHOTO,EQ,59.1,58.0,62.0,54.05,58.5,58.5,57.72,1147,6620850000.0,42,955,0.8326000000000001
2020-04-27,UNIVPHOTO,EQ,58.5,59.0,63.95,58.0,59.2,59.2,61.64,4696,28945565000.000004,57,3291,0.7008
2020-04-28,UNIVPHOTO,EQ,59.2,59.5,67.5,59.5,67.5,64.6,62.69,1288,8074425000.0,31,1027,0.7974
2020-04-29,UNIVPHOTO,EQ,64.6,64.0,64.9,60.0,62.0,62.0,62.51,4234,26467650000.0,72,3137,0.7409
2020-04-30,UNIVPHOTO,EQ,62.0,61.25,66.95,61.25,62.9,63.1,62.9,2141,13465820000.000002,29,1962,0.9164
2020-05-04,UNIVPHOTO,EQ,63.1,61.0,65.0,59.1,59.1,59.1,61.66,2081,12831360000.0,34,1817,0.8731
2020-05-05,UNIVPHOTO,EQ,59.1,60.0,68.85,60.0,66.8,66.0,66.84,5458,36479510000.0,82,4367,0.8001
2020-05-06,UNIVPHOTO,EQ,66.0,68.0,70.0,65.0,66.0,66.0,65.96,3725,24571330000.0,43,3669,0.985
2020-05-07,UNIVPHOTO,EQ,66.0,65.0,67.8,61.7,64.05,64.1,64.03,1502,9617195000.0,54,946,0.6298
2020-05-08,UNIVPHOTO,EQ,64.1,64.1,64.45,63.75,63.75,63.75,63.94,1455,9303100000.0,44,909,0.6247
2020-05-11,UNIVPHOTO,EQ,63.75,63.0,72.2,62.5,71.0,71.0,68.81,3513,24172510000.0,78,2778,0.7908
2020-05-12,UNIVPHOTO,EQ,71.0,77.0,85.2,70.0,85.2,84.2,79.52,6592,52416735000.0,153,5200,0.7888
2020-05-13,UNIVPHOTO,EQ,84.2,88.0,101.0,88.0,101.0,101.0,100.51,9613,96623715000.0,202,8356,0.8692000000000001
2020-05-14,UNIVPHOTO,EQ,101.0,108.0,111.1,93.3,99.4,98.6,105.08,21858,229684150000.0,468,10678,0.48850000000000005
2020-05-15,UNIVPHOTO,EQ,98.6,94.0,98.95,88.75,94.1,94.85,95.11,24931,237118725000.0,292,18261,0.7325
2020-05-18,UNIVPHOTO,EQ,94.85,90.0,93.4,89.0,90.7,90.85,91.03,4016,36558750000.0,103,2633,0.6556000000000001
2020-05-19,UNIVPHOTO,EQ,90.85,95.0,95.0,87.45,88.75,88.75,88.95,3567,31728920000.0,111,2325,0.6518
2020-05-20,UNIVPHOTO,EQ,88.75,88.75,91.5,85.1,88.95,86.65,90.0,4955,44594730000.0,98,4008,0.8089000000000001
2020-05-21,UNIVPHOTO,EQ,86.65,89.7,89.7,82.4,85.0,83.8,83.36,7307,60912130000.00001,102,4416,0.6043999999999999
2020-05-22,UNIVPHOTO,EQ,83.8,90.95,90.95,83.1,84.3,84.45,84.96,3083,26193305000.0,74,1974,0.6403
2020-05-26,UNIVPHOTO,EQ,84.45,84.45,88.0,84.0,88.0,86.45,85.94,5574,47903480000.0,97,1964,0.35240000000000005
2020-05-27,UNIVPHOTO,EQ,86.45,85.05,91.2,84.65,85.0,86.25,86.0,1077,9262110000.0,53,680,0.6314000000000001
2020-05-28,UNIVPHOTO,EQ,86.25,83.4,94.7,83.4,89.3,86.9,86.99,2785,24226865000.0,127,1366,0.4905
2020-05-29,UNIVPHOTO,EQ,86.9,88.9,90.9,86.2,87.65,88.15,88.8,3232,28698584999.999996,110,2204,0.6819
2020-06-01,UNIVPHOTO,EQ,88.15,86.25,92.35,86.25,88.55,88.55,89.27,6965,62178985000.0,64,3068,0.4405
2020-06-02,UNIVPHOTO,EQ,88.55,85.65,92.0,85.65,90.0,89.35,89.76,3712,33319690000.000004,69,2313,0.6231
2020-06-03,UNIVPHOTO,EQ,89.35,88.0,92.6,88.0,90.8,91.0,91.08,1446,13170154999.999998,59,893,0.6176
2020-06-04,UNIVPHOTO,EQ,91.0,85.6,96.8,85.6,93.0,93.9,92.98,114515,1064733535000.0,240,104634,0.9137000000000001
2020-06-05,UNIVPHOTO,EQ,93.9,99.0,99.0,91.05,91.25,91.65,93.25,29672,276677230000.0,139,28091,0.9467
2020-06-08,UNIVPHOTO,EQ,91.65,91.0,94.9,91.0,94.7,94.3,93.01,6474,60211890000.0,131,3243,0.5009
2020-06-09,UNIVPHOTO,EQ,94.3,93.05,94.95,91.5,91.5,91.75,91.87,1775,16307679999.999998,54,982,0.5532
2020-06-10,UNIVPHOTO,EQ,91.75,100.0,100.0,86.75,92.05,92.05,91.81,4786,43942440000.0,127,3130,0.654
2020-06-11,UNIVPHOTO,EQ,92.05,93.75,93.8,89.45,93.8,92.5,92.03,3004,27646780000.0,84,1670,0.5559000000000001
2020-06-12,UNIVPHOTO,EQ,92.5,89.4,92.4,89.05,92.3,90.5,90.44,1057,9559550000.0,54,738,0.6981999999999999
2020-06-15,UNIVPHOTO,EQ,90.5,90.6,92.05,90.6,92.0,92.0,91.28,1135,10360130000.0,61,850,0.7489
2020-06-16,UNIVPHOTO,EQ,92.0,90.15,94.3,90.15,91.15,91.15,91.4,1771,16187090000.0,84,963,0.5438000000000001
2020-06-17,UNIVPHOTO,EQ,91.15,86.55,94.0,86.55,94.0,92.9,91.44,1632,14922679999.999998,68,1243,0.7615999999999999
2020-06-18,UNIVPHOTO,EQ,92.9,92.5,96.45,88.0,92.75,94.55,92.62,2767,25626690000.0,75,2208,0.798
2020-06-19,UNIVPHOTO,EQ,94.55,90.4,99.4,90.4,97.4,96.05,96.34,2282,21984660000.0,150,1532,0.6713
2020-06-22,UNIVPHOTO,EQ,96.05,96.0,97.8,94.0,95.1,95.1,95.08,968,9204110000.0,48,673,0.6951999999999999
2020-06-23,UNIVPHOTO,EQ,95.1,99.0,99.0,93.0,93.55,93.55,94.0,1220,11467420000.0,144,90,0.6338
2020-06-24,UNIVPHOTO,EQ,93.55,94.15,98.0,93.2,93.2,93.3,94.67,2697,25533360000.0,91,2013,0.7464000000000001
2020-06-25,UNIVPHOTO,EQ,93.3,89.15,98.0,89.15,93.25,93.25,94.06,3883,36525270000.0,75,2856,0.7354999999999999
2020-06-26,UNIVPHOTO,EQ,93.25,93.25,96.9,91.0,92.25,92.7,93.19,6849,63829250000.0,102,5202,0.7595000000000001
2020-06-29,UNIVPHOTO,EQ,92.7,89.55,95.0,89.55,95.0,93.25,92.18,1085,10001370000.0,56,916,0.8442000000000001
2020-06-30,UNIVPHOTO,EQ,93.25,91.05,94.75,91.05,91.6,91.6,92.25,4115,37962090000.0,59,3102,0.7538
2020-07-01,UNIVPHOTO,EQ,91.6,93.05,95.7,90.25,93.05,93.9,93.64,2873,26903140000.000004,83,2170,0.7553000000000001
2020-07-02,UNIVPHOTO,EQ,93.9,94.4,95.7,89.6,93.6,94.75,93.47,1771,16554279999.999998,68,973,0.5494
2020-07-03,UNIVPHOTO,EQ,94.75,90.3,95.6,90.3,95.0,95.0,94.46,4170,39391695000.0,92,3786,0.9079
2020-07-06,UNIVPHOTO,EQ,95.0,92.05,95.1,92.05,95.0,95.0,94.87,4502,42711660000.0,79,4092,0.9089
2020-07-07,UNIVPHOTO,EQ,95.0,95.4,99.5,91.75,95.25,96.3,96.45,3506,33815605000.0,108,2609,0.7442000000000001
2020-07-08,UNIVPHOTO,EQ,96.3,91.25,99.0,91.25,96.5,96.9,97.0,13296,128971289999.99998,203,12983,0.9765
2020-07-09,UNIVPHOTO,EQ,96.9,93.0,99.6,93.0,98.0,97.2,97.86,1369,13396950000.0,48,1007,0.7356
2020-07-10,UNIVPHOTO,EQ,97.2,94.45,98.45,94.45,97.0,96.6,96.59,2616,25267620000.0,64,1922,0.7347
2020-07-13,UNIVPHOTO,EQ,96.6,97.45,97.9,95.0,95.65,96.2,96.34,1560,15028300000.0,56,1039,0.6659999999999999
2020-07-14,UNIVPHOTO,EQ,96.2,100.0,100.0,92.1,98.0,97.1,96.79,8375,81060350000.0,171,4350,0.5194
2020-07-15,UNIVPHOTO,EQ,97.1,90.55,101.0,90.55,101.0,98.95,97.77,3560,34806185000.0,84,2023,0.5683
2020-07-16,UNIVPHOTO,EQ,98.95,102.8,102.8,95.75,98.5,97.8,97.46,2040,19880975000.0,46,1627,0.7975
2020-07-17,UNIVPHOTO,EQ,97.8,98.5,102.65,96.65,102.3,100.65,99.03,3895,38571460000.0,104,2700,0.6931999999999999
