Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-14,VERTOZ,EQ,72.95,76.55,76.55,74.3,75.5,75.4,75.35,32991,248584010000.0,200,2000,0.060599999999999994
2020-05-15,VERTOZ,EQ,75.4,75.45,77.8,73.6,74.45,74.6,74.68,29708,221845595000.00003,158,1627,0.05480000000000001
2020-05-18,VERTOZ,EQ,74.6,75.75,76.0,73.05,75.7,74.8,75.26,25809,194232165000.0,199,1434,0.0556
2020-05-19,VERTOZ,EQ,74.8,77.9,77.9,74.45,76.0,75.25,75.18,28181,211868570000.00003,163,566,0.0201
2020-05-20,VERTOZ,EQ,75.25,76.0,76.0,72.2,72.2,74.25,74.34,25287,187984555000.0,93,2848,0.1126
2020-05-21,VERTOZ,EQ,74.25,73.55,76.0,73.55,75.95,74.95,74.68,27928,208573355000.0,172,2153,0.0771
2020-05-22,VERTOZ,EQ,74.95,75.0,76.0,73.75,75.0,74.55,74.58,28306,211093429999.99997,93,3141,0.111
2020-05-26,VERTOZ,EQ,74.55,75.0,78.25,73.0,78.0,77.2,75.71,38996,295227010000.0,276,7807,0.2002
2020-05-27,VERTOZ,EQ,77.2,80.3,80.3,75.9,78.0,77.9,78.21,36304,283919755000.0,353,6151,0.16940000000000002
2020-05-28,VERTOZ,EQ,77.9,80.0,80.0,74.05,75.5,75.25,77.2,42387,327227185000.0,355,5781,0.13640000000000002
2020-05-29,VERTOZ,EQ,75.25,75.8,75.8,71.5,71.5,71.5,73.24,38071,278845380000.0,232,5591,0.1469
2020-06-01,VERTOZ,EQ,71.5,74.9,75.05,67.95,67.95,72.35,71.84,31384,225477704999.99997,361,3098,0.0987
2020-06-02,VERTOZ,EQ,72.35,73.95,73.95,71.0,72.1,71.85,72.23,33768,243899279999.99997,306,3221,0.0954
2020-06-03,VERTOZ,EQ,71.85,74.5,74.5,70.7,70.7,72.4,73.19,36794,269293754999.99997,308,2719,0.0739
2020-06-04,VERTOZ,EQ,72.4,73.5,73.5,68.8,72.35,71.75,71.95,33452,240702590000.0,298,2581,0.0772
2020-06-05,VERTOZ,EQ,71.75,73.5,73.8,69.0,73.65,73.65,72.44,31247,226346004999.99997,210,2192,0.0702
