Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-03-02,VIDHIDYE,EQ,58.6,61.9,61.9,58.0,58.0,59.5,60.38,38803,234310850000.0,179,29806,0.7681
2016-03-03,VIDHIDYE,EQ,59.5,59.8,59.95,56.15,58.0,57.95,57.94,45216,261965775000.0,223,34964,0.7733
2016-03-04,VIDHIDYE,EQ,57.95,58.0,59.0,56.1,56.2,56.65,57.31,28755,164806580000.0,118,22549,0.7842
2016-03-08,VIDHIDYE,EQ,56.65,59.5,59.5,55.5,57.0,56.05,56.45,25462,143728345000.0,147,19187,0.7536
2016-03-09,VIDHIDYE,EQ,56.05,55.55,58.0,55.2,57.85,57.35,56.45,3849,21726890000.0,73,2098,0.5451
2016-03-10,VIDHIDYE,EQ,57.35,59.0,64.8,57.0,59.85,59.0,59.65,13050,77842725000.0,88,6136,0.47020000000000006
2016-03-11,VIDHIDYE,EQ,59.0,57.5,59.6,57.0,59.6,58.7,58.29,12316,71791040000.0,107,7902,0.6416
2016-03-14,VIDHIDYE,EQ,58.7,59.95,60.0,57.0,58.0,58.0,57.96,67125,389036540000.0,229,55325,0.8242
2016-03-15,VIDHIDYE,EQ,58.0,57.35,58.0,56.75,57.35,57.25,57.42,7590,43578780000.0,58,5715,0.753
2016-03-16,VIDHIDYE,EQ,57.25,56.25,58.5,55.5,58.0,57.25,56.52,15585,88090925000.0,103,13058,0.8379000000000001
2016-03-17,VIDHIDYE,EQ,57.25,57.6,58.5,55.5,58.4,57.65,57.88,7845,45403880000.0,100,5222,0.6656000000000001
2016-03-18,VIDHIDYE,EQ,57.65,58.75,58.75,57.35,57.6,57.6,57.88,2577,14914425000.0,58,2308,0.8956000000000001
2016-03-21,VIDHIDYE,EQ,57.6,58.4,58.4,56.3,56.3,56.75,56.95,42070,239580575000.0,181,34600,0.8224
2016-03-22,VIDHIDYE,EQ,56.75,55.85,57.35,55.8,57.25,56.65,56.77,22682,128760610000.00002,176,16745,0.7383
2016-03-23,VIDHIDYE,EQ,56.65,57.4,66.0,56.15,64.45,64.25,64.08,142254,911561505000.0001,1542,72270,0.508
2016-03-28,VIDHIDYE,EQ,64.25,66.7,67.5,63.5,64.6,64.2,65.5,64996,425752409999.99994,667,43328,0.6666
2016-03-29,VIDHIDYE,EQ,64.2,64.15,66.0,63.0,63.1,63.95,64.15,56093,359853340000.0,322,41530,0.7404000000000001
2016-03-30,VIDHIDYE,EQ,63.95,64.95,68.0,64.6,67.2,67.15,66.2,32367,214263400000.0,319,23248,0.7183
2016-03-31,VIDHIDYE,EQ,67.15,67.85,68.9,64.0,65.55,65.15,67.42,29951,201916560000.0,246,21817,0.7284
2016-04-01,VIDHIDYE,EQ,65.15,66.0,66.0,64.05,65.8,65.25,65.17,19878,129546995000.0,166,13558,0.6820999999999999
2016-04-04,VIDHIDYE,EQ,65.25,67.45,68.15,64.95,68.0,67.85,66.66,36865,245749970000.00003,355,23446,0.636
2016-04-05,VIDHIDYE,EQ,67.85,68.95,68.95,62.0,65.2,65.4,66.22,17371,115035964999.99998,208,11418,0.6573000000000001
2016-04-06,VIDHIDYE,EQ,65.4,69.95,74.2,65.75,71.0,71.85,71.2,192092,1367602800000.0,2039,79116,0.4119
2016-04-07,VIDHIDYE,EQ,71.85,70.25,72.95,68.5,69.55,68.95,69.77,38241,266821370000.00003,555,19484,0.5095000000000001
2016-04-08,VIDHIDYE,EQ,68.95,68.05,69.9,67.8,68.4,68.35,68.55,34672,237682879999.99997,358,22315,0.6436000000000001
2016-04-11,VIDHIDYE,EQ,68.35,69.0,72.0,69.0,70.0,71.65,71.05,96277,684054280000.0,463,73937,0.768
2016-04-12,VIDHIDYE,EQ,71.65,70.9,73.8,69.55,72.65,72.15,72.63,129718,942133975000.0,593,99955,0.7706000000000001
2016-04-13,VIDHIDYE,EQ,72.15,73.7,73.75,70.0,70.0,70.05,71.16,35905,255512465000.0,360,24335,0.6778000000000001
2016-04-18,VIDHIDYE,EQ,70.05,71.4,71.45,69.05,69.45,69.3,69.85,37903,264763940000.0,279,30202,0.7968000000000001
2016-04-20,VIDHIDYE,EQ,69.3,70.0,72.0,67.0,67.55,67.7,68.35,23835,162908870000.0,244,18055,0.7575000000000001
2016-04-21,VIDHIDYE,EQ,67.7,69.05,70.0,68.0,69.65,68.65,68.66,39977,274487829999.99997,333,32061,0.802
2016-04-22,VIDHIDYE,EQ,68.65,67.3,68.9,66.6,67.35,66.8,67.84,29010,196808775000.0,280,21785,0.7509
2016-04-25,VIDHIDYE,EQ,66.8,67.25,68.0,66.0,66.1,66.25,66.81,31770,212246640000.0,341,21511,0.6770999999999999
2016-04-26,VIDHIDYE,EQ,66.25,65.45,68.8,65.25,66.2,66.3,67.4,16203,109212570000.0,233,7970,0.4919
2016-04-27,VIDHIDYE,EQ,66.3,66.3,68.5,66.2,66.9,67.55,67.38,26376,177725590000.0,286,18578,0.7044
2016-04-28,VIDHIDYE,EQ,67.55,67.8,67.8,64.0,66.35,65.05,65.81,15329,100887240000.0,219,9198,0.6
2016-04-29,VIDHIDYE,EQ,65.05,65.6,67.9,65.5,65.65,65.8,66.53,32181,214086295000.00003,310,18635,0.5791
2016-05-02,VIDHIDYE,EQ,65.8,66.55,66.9,65.3,65.5,65.95,66.24,12556,83173915000.0,123,10138,0.8074
2016-05-03,VIDHIDYE,EQ,65.95,65.25,67.75,63.5,64.0,64.25,64.93,26528,172239960000.0,237,22438,0.8458
2016-05-04,VIDHIDYE,EQ,64.25,62.55,64.5,61.0,62.05,62.0,62.33,88440,551258325000.0,632,51777,0.5854
2016-05-05,VIDHIDYE,EQ,62.0,62.0,66.4,62.0,62.55,62.5,62.63,19552,122463164999.99998,188,12390,0.6337
2016-05-06,VIDHIDYE,EQ,62.5,63.8,63.8,60.0,62.2,62.0,61.36,23108,141798900000.0,325,11719,0.5071
2016-05-09,VIDHIDYE,EQ,62.0,63.95,63.95,60.7,61.85,61.15,62.08,18101,112374535000.00002,148,14098,0.7789
2016-05-10,VIDHIDYE,EQ,61.15,59.1,64.25,59.1,62.05,62.35,62.13,9788,60813100000.0,131,5555,0.5675
2016-05-11,VIDHIDYE,EQ,62.35,62.0,63.4,58.0,61.85,60.75,62.07,17002,105530430000.0,178,7984,0.4696
2016-05-12,VIDHIDYE,EQ,60.75,60.5,63.0,60.5,61.8,61.55,62.13,15198,94420340000.0,144,11160,0.7343000000000001
2016-05-13,VIDHIDYE,EQ,61.55,59.3,62.95,57.0,62.75,62.45,62.09,21973,136425955000.0,180,14490,0.6594
2016-05-16,VIDHIDYE,EQ,62.45,61.0,62.9,60.0,61.6,61.8,62.01,36005,223258110000.0,164,29589,0.8218000000000001
2016-05-17,VIDHIDYE,EQ,61.8,63.45,63.45,61.0,61.5,61.4,61.95,20674,128082030000.0,179,15911,0.7696
2016-05-18,VIDHIDYE,EQ,61.4,62.4,62.45,60.0,60.3,60.75,60.99,29948,182651660000.0,210,25223,0.8422000000000001
2016-05-19,VIDHIDYE,EQ,60.75,62.8,62.8,58.0,59.95,59.9,59.7,53176,317453580000.0,429,35510,0.6678000000000001
2016-05-20,VIDHIDYE,EQ,59.9,62.05,62.05,59.6,60.45,60.1,60.28,62452,376490250000.0,562,40587,0.6498999999999999
2016-05-23,VIDHIDYE,EQ,60.1,61.85,62.2,60.0,61.9,61.6,61.69,16419,101296660000.0,173,13110,0.7985
2016-05-24,VIDHIDYE,EQ,61.6,61.7,65.75,61.7,64.95,65.05,64.21,78919,506736450000.0,689,51418,0.6515000000000001
2016-05-25,VIDHIDYE,EQ,65.05,66.0,66.75,61.6,61.9,61.9,63.2,88778,561050945000.0,750,62532,0.7044
2016-05-26,VIDHIDYE,EQ,61.9,62.8,62.8,59.35,60.05,60.2,60.62,54764,331980915000.0,454,40448,0.7386
2016-05-27,VIDHIDYE,EQ,60.2,61.95,62.5,54.45,56.0,55.75,57.68,312118,1800211325000.0,3099,160099,0.5129
2016-05-30,VIDHIDYE,EQ,55.75,56.0,56.0,50.5,53.9,53.6,52.07,176585,919497830000.0001,1997,80270,0.4546
2016-05-31,VIDHIDYE,EQ,53.6,53.2,55.9,51.2,55.6,55.15,54.0,105932,572025695000.0,1156,44216,0.41740000000000005
2016-06-01,VIDHIDYE,EQ,55.15,56.0,56.9,55.0,56.85,56.25,56.27,34077,191734295000.0,477,21767,0.6388
2016-06-02,VIDHIDYE,EQ,56.25,55.95,56.85,54.0,54.7,54.9,54.63,27026,147644940000.0,474,16106,0.5959000000000001
2016-06-03,VIDHIDYE,EQ,54.9,56.0,56.0,53.1,53.3,53.35,53.9,37468,201935285000.0,339,26909,0.7182
2016-06-06,VIDHIDYE,EQ,53.35,53.0,54.0,52.1,52.25,52.4,52.84,24424,129054960000.00002,247,19505,0.7986
2016-06-07,VIDHIDYE,EQ,52.4,53.85,54.0,52.1,53.5,52.95,52.95,29556,156491135000.0,329,21574,0.7299
2016-06-08,VIDHIDYE,EQ,52.95,55.5,56.25,53.1,55.6,55.8,55.39,61193,338974040000.0,677,37631,0.615
2016-06-09,VIDHIDYE,EQ,55.8,54.55,55.5,53.3,55.1,54.9,54.59,27047,147644030000.0,266,20708,0.7656000000000001
2016-06-10,VIDHIDYE,EQ,54.9,54.5,55.4,46.2,55.0,54.65,53.48,52672,281714580000.0,648,20683,0.39270000000000005
2016-06-13,VIDHIDYE,EQ,54.65,52.5,54.85,52.25,54.0,54.2,53.26,17695,94237800000.0,263,11606,0.6559
2016-06-14,VIDHIDYE,EQ,54.2,53.0,55.85,53.0,55.5,54.75,54.42,47420,258068804999.99997,393,33570,0.7079000000000001
2016-06-15,VIDHIDYE,EQ,54.75,55.0,59.95,54.0,57.35,57.6,58.28,202161,1178206435000.0,1728,97285,0.48119999999999996
2016-06-16,VIDHIDYE,EQ,57.6,58.25,59.45,56.4,57.5,57.15,58.06,87950,510604209999.99994,596,58666,0.667
2016-06-17,VIDHIDYE,EQ,57.15,58.9,58.9,56.0,56.2,56.4,56.79,28121,159696255000.0,376,21867,0.7776000000000001
2016-06-20,VIDHIDYE,EQ,56.4,56.5,57.8,54.5,56.05,56.25,56.59,31789,179907910000.0,303,21080,0.6631
2016-06-21,VIDHIDYE,EQ,56.25,57.2,57.75,55.15,55.5,55.35,55.86,19023,106259605000.0,236,12647,0.6648000000000001
2016-06-22,VIDHIDYE,EQ,55.35,55.4,56.9,53.7,53.9,54.1,54.72,33057,180894745000.0,476,25465,0.7703
2016-06-23,VIDHIDYE,EQ,54.1,55.5,57.0,53.0,53.75,54.15,54.76,36986,202535150000.0,514,19382,0.524
2016-06-24,VIDHIDYE,EQ,54.15,52.0,53.85,50.6,53.5,53.15,52.49,69950,367185215000.0,735,44953,0.6426000000000001
2016-06-27,VIDHIDYE,EQ,53.15,53.25,54.8,53.0,54.15,54.15,54.2,15469,83837610000.0,216,13193,0.8529000000000001
2016-06-28,VIDHIDYE,EQ,54.15,53.6,55.45,53.6,54.0,54.35,54.3,26793,145480320000.0,359,20827,0.7773000000000001
2016-06-29,VIDHIDYE,EQ,54.35,54.95,55.05,54.0,54.15,54.6,54.69,43243,236501454999.99997,485,30149,0.6972
2016-06-30,VIDHIDYE,EQ,54.6,55.0,56.0,54.2,55.45,55.35,55.38,23089,127875230000.0,242,17898,0.7752
2016-07-01,VIDHIDYE,EQ,55.35,55.3,56.05,54.0,54.8,54.85,54.95,29408,161586055000.0,444,16300,0.5543
2016-07-04,VIDHIDYE,EQ,54.85,55.9,55.9,54.2,54.2,54.5,54.81,26613,145872830000.0,255,18503,0.6953
2016-07-05,VIDHIDYE,EQ,54.5,54.95,54.95,53.55,54.2,53.7,54.06,27227,147190920000.0,264,21337,0.7837000000000001
2016-07-07,VIDHIDYE,EQ,53.7,53.5,55.5,53.5,54.5,54.35,54.29,16602,90129495000.0,136,11793,0.7103
2016-07-08,VIDHIDYE,EQ,54.35,54.1,54.9,53.15,53.2,53.75,53.98,26745,144382205000.0,231,19232,0.7191
2016-07-11,VIDHIDYE,EQ,53.75,54.5,55.5,53.25,54.7,54.55,54.73,27457,150271425000.0,246,16416,0.5979
2016-07-12,VIDHIDYE,EQ,54.55,55.55,55.8,54.4,55.25,55.0,55.27,40316,222819315000.0,365,30241,0.7501000000000001
2016-07-13,VIDHIDYE,EQ,55.0,55.8,55.9,53.2,53.35,53.55,53.79,45960,247207090000.0,313,33563,0.7303000000000001
2016-07-14,VIDHIDYE,EQ,53.55,54.85,54.85,51.55,52.95,52.65,52.76,38945,205475130000.0,286,30220,0.7759999999999999
2016-07-15,VIDHIDYE,EQ,52.65,52.3,53.35,52.1,52.9,52.75,52.59,21241,111699714999.99998,159,14984,0.7054
2016-07-18,VIDHIDYE,EQ,52.75,52.8,53.45,52.05,52.2,52.2,52.45,45317,237670170000.00003,290,37042,0.8174
2016-07-19,VIDHIDYE,EQ,52.2,52.3,58.5,49.45,55.65,55.3,54.41,244993,1332946680000.0,1842,124809,0.5094
2016-07-20,VIDHIDYE,EQ,55.3,54.3,57.0,54.3,56.0,56.05,56.23,77814,437578759999.99994,650,47892,0.6154999999999999
2016-07-21,VIDHIDYE,EQ,56.05,56.0,56.55,54.45,54.6,54.65,55.1,37144,204675090000.0,315,29506,0.7944
2016-07-22,VIDHIDYE,EQ,54.65,54.1,55.4,54.1,54.3,54.4,54.75,20528,112395239999.99998,205,12678,0.6176
2016-07-25,VIDHIDYE,EQ,54.4,54.0,54.4,52.6,53.8,53.7,53.4,77364,413117510000.0,571,53654,0.6935
2016-07-26,VIDHIDYE,EQ,53.7,54.1,55.5,53.25,53.3,53.55,54.16,32269,174768755000.0,398,17743,0.5498
2016-07-27,VIDHIDYE,EQ,53.55,54.5,54.5,53.0,54.0,53.8,53.67,15060,80831145000.0,141,10536,0.6996
2016-07-28,VIDHIDYE,EQ,53.8,62.2,64.0,58.35,59.1,59.15,60.5,1164362,7043833295000.0,9406,412044,0.3539
2016-07-29,VIDHIDYE,EQ,59.15,59.5,59.9,57.5,58.45,58.5,58.33,118377,690462515000.0,1267,64870,0.5479999999999999
2016-08-01,VIDHIDYE,EQ,58.5,59.95,59.95,57.5,58.0,58.8,58.91,125928,741813135000.0,828,83539,0.6634000000000001
2016-08-02,VIDHIDYE,EQ,58.8,59.2,59.5,57.6,58.0,58.0,58.45,51764,302550490000.0,403,34729,0.6709
2016-08-03,VIDHIDYE,EQ,58.0,58.0,58.0,56.05,56.25,56.65,56.71,49826,282559470000.0,498,30900,0.6202000000000001
2016-08-04,VIDHIDYE,EQ,56.65,57.1,57.4,54.0,55.35,55.35,55.59,53646,298208100000.0,620,34119,0.636
2016-08-05,VIDHIDYE,EQ,55.35,55.35,56.4,54.6,55.45,55.0,55.5,60334,334838805000.0,538,40946,0.6787000000000001
2016-08-08,VIDHIDYE,EQ,55.0,55.75,55.75,54.5,54.6,54.8,55.08,34431,189651225000.0,364,20385,0.5921000000000001
2016-08-09,VIDHIDYE,EQ,54.8,54.5,55.35,54.3,55.25,54.95,54.83,39156,214679170000.00003,296,25364,0.6478
2016-08-10,VIDHIDYE,EQ,54.95,55.5,55.75,54.1,54.5,54.2,54.85,51275,281263250000.0,386,35210,0.6867
2016-08-11,VIDHIDYE,EQ,54.2,54.0,55.5,54.0,55.25,54.85,54.82,46435,254567715000.0,282,36096,0.7773000000000001
