Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-21,VISHAL,EQ,345.0,412.0,412.0,344.0,344.0,344.0,379.43,66,2504250000.0,6,65,0.9848
2019-08-22,VISHAL,EQ,344.0,344.1,377.95,342.0,342.05,342.05,345.0,290056,10006939600000.0,24,289930,0.9995999999999999
2019-08-23,VISHAL,EQ,342.05,344.05,344.05,343.05,343.05,343.05,343.97,27,928710000.0,3,26,0.963
2019-08-26,VISHAL,EQ,343.05,344.0,344.05,344.0,344.05,344.05,344.01,13,447214999.99999994,2,10,0.7692
2019-08-28,VISHAL,EQ,344.05,344.0,349.95,344.0,349.95,349.95,345.98,3,103795000.0,3,2,0.6667000000000001
2019-09-03,VISHAL,EQ,349.95,350.0,350.0,350.0,350.0,350.0,350.0,57142,1999970000000.0,1,57142,1.0
2019-09-05,VISHAL,EQ,350.0,345.0,345.0,345.0,345.0,345.0,345.0,25,862500000.0,1,25,1.0
2019-09-09,VISHAL,EQ,345.0,345.0,345.0,345.0,345.0,345.0,345.0,10,345000000.0,1,10,1.0
2019-09-11,VISHAL,EQ,345.0,410.0,410.0,345.0,351.0,348.0,348.49,233,8119855000.0,184,7,0.03
2019-09-12,VISHAL,EQ,348.0,345.0,350.0,344.0,344.55,345.95,346.82,247,8566555000.0,150,35,0.1417
2019-09-13,VISHAL,EQ,345.95,350.0,350.0,345.5,349.55,349.55,347.55,250,8688850000.0,206,1,0.004
2019-09-16,VISHAL,EQ,349.55,350.0,350.0,345.05,345.05,345.05,347.5,244,8479114999.999999,111,1,0.0040999999999999995
2020-08-31,VISHAL,EQ,269.65,264.25,283.0,260.1,274.5,274.5,272.65,30782,839269955000.0001,324,5012,0.16280000000000003
2020-09-01,VISHAL,EQ,274.5,274.5,277.45,271.3,275.5,274.9,274.77,56633,1556079330000.0,582,10365,0.18300000000000002
2020-09-02,VISHAL,EQ,274.9,274.9,278.0,261.2,275.0,275.15,275.17,104369,2871899935000.0,784,8746,0.08380000000000001
2020-09-03,VISHAL,EQ,275.15,274.95,275.7,270.1,275.0,275.0,274.41,184179,5054108730000.0,1272,21086,0.11449999999999999
2020-09-04,VISHAL,EQ,275.0,275.0,275.5,267.5,272.1,272.0,270.65,168130,4550377145000.0,1289,14954,0.0889
2020-09-07,VISHAL,EQ,272.0,274.1,278.2,273.0,278.2,278.1,275.52,220858,6085044865000.0,2543,97018,0.4393
2020-09-08,VISHAL,EQ,278.1,278.2,281.35,278.2,281.2,281.15,279.65,207418,5800529820000.0,3264,64264,0.3098
2020-09-09,VISHAL,EQ,281.15,281.35,284.1,281.0,283.95,284.0,282.92,224794,6359773600000.0,2184,58319,0.2594
2020-09-10,VISHAL,EQ,284.0,284.55,287.5,284.55,287.5,287.35,286.35,239013,6844171270000.0,1954,52148,0.2182
2020-09-11,VISHAL,EQ,287.35,287.8,290.25,287.8,290.2,290.15,289.38,261866,7577958140000.001,2281,53335,0.20370000000000002
2020-09-14,VISHAL,EQ,290.15,290.85,293.25,290.85,293.2,293.05,292.09,378254,11048499175000.0,3543,183747,0.4858
2020-09-15,VISHAL,EQ,293.05,293.65,296.4,293.65,296.2,296.05,295.24,313382,9252208355000.0,2767,92427,0.2949
2020-09-16,VISHAL,EQ,296.05,297.0,300.0,297.0,299.6,299.5,298.57,454447,13568596880000.002,4634,165107,0.3633
2020-09-17,VISHAL,EQ,299.5,300.5,302.5,300.5,302.25,302.05,301.5,482820,14557090130000.002,4066,152717,0.31629999999999997
2020-09-18,VISHAL,EQ,302.05,303.5,305.15,303.4,305.1,305.0,304.42,395741,12047006320000.0,3391,119735,0.30260000000000004
2020-09-21,VISHAL,EQ,305.0,306.5,309.1,306.5,308.95,308.9,307.7,560215,17237798830000.002,5481,207514,0.3704
2020-09-22,VISHAL,EQ,308.9,310.45,311.75,310.0,311.35,311.25,310.94,632819,19676826130000.0,3493,155116,0.2451
2020-09-23,VISHAL,EQ,311.25,312.65,314.3,312.5,314.3,314.2,313.51,466765,14633782600000.0,3229,159585,0.3419
2020-09-24,VISHAL,EQ,314.2,315.65,317.3,315.6,317.3,317.1,316.48,494558,15651895819999.998,3253,118827,0.2403
2020-09-25,VISHAL,EQ,317.1,318.65,320.15,318.65,320.05,320.05,319.45,540941,17280599269999.998,3785,134459,0.2486
2020-09-28,VISHAL,EQ,320.05,321.75,324.5,321.7,324.1,324.15,322.96,918882,29675784970000.0,5511,247963,0.2699
2020-09-29,VISHAL,EQ,324.15,325.9,327.2,325.75,327.0,327.05,326.54,669848,21872985315000.0,4062,172523,0.2576
2020-09-30,VISHAL,EQ,327.05,328.8,330.2,328.75,330.2,330.1,329.53,776228,25579334750000.0,4086,187989,0.2422
2020-10-01,VISHAL,EQ,330.1,331.05,332.15,330.85,332.1,332.05,331.69,758010,25142260155000.0,3738,187849,0.24780000000000002
2020-10-05,VISHAL,EQ,332.05,333.5,336.35,333.0,336.35,336.15,335.0,983330,32941864295000.0,5641,335063,0.3407
2020-10-06,VISHAL,EQ,336.15,337.75,339.25,337.0,339.25,339.1,338.52,1032881,34965189950000.0,5567,245079,0.2373
