Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-01-29,WANBURY,EQ,137.65,141.0,143.9,135.15,136.55,137.5,138.97,12291,170806665000.0,,2035,0.1656
2007-01-31,WANBURY,EQ,137.5,138.8,139.8,135.0,135.25,135.5,136.96,2826,38703900000.0,,2425,0.8581000000000001
2007-02-01,WANBURY,EQ,135.5,137.0,138.8,135.0,135.3,135.35,135.97,1415,19240085000.0,,1076,0.7604000000000001
2007-02-02,WANBURY,EQ,135.35,137.7,138.35,134.6,134.6,135.2,136.0,1121,15245590000.0,,897,0.8002
2007-02-05,WANBURY,EQ,135.2,135.0,141.9,130.6,134.0,136.05,136.39,9903,135065620000.0,,3286,0.3318
2007-02-06,WANBURY,EQ,136.05,138.2,138.2,133.0,135.0,134.15,133.93,4379,58647665000.0,,2024,0.4622
2007-02-07,WANBURY,EQ,134.15,134.5,139.8,132.5,135.95,135.3,136.0,12841,174637870000.0,,6075,0.4731
2007-02-08,WANBURY,EQ,135.3,133.0,134.0,130.0,133.0,133.0,132.38,5971,79041560000.0,,3831,0.6416
2007-02-09,WANBURY,EQ,133.0,133.0,133.0,128.0,129.15,129.55,130.09,4143,53896790000.0,,3527,0.8513
2007-02-12,WANBURY,EQ,129.55,128.5,128.5,114.2,118.15,119.2,120.39,10014,120556860000.00002,,4855,0.48479999999999995
2007-02-13,WANBURY,EQ,119.2,121.0,129.0,120.0,129.0,125.1,122.32,7299,89280935000.0,,5083,0.6964
2007-02-14,WANBURY,EQ,125.1,134.0,134.0,126.0,133.8,132.15,130.52,8761,114349605000.0,,3924,0.4479
2007-02-15,WANBURY,EQ,132.15,135.0,136.8,131.3,131.35,132.9,134.23,4004,53744115000.0,,2081,0.5197
2007-02-19,WANBURY,EQ,132.9,131.25,134.65,127.2,127.8,128.55,129.95,30612,397808765000.0,,28335,0.9256000000000001
2007-02-20,WANBURY,EQ,128.55,128.3,129.95,124.0,124.0,125.5,126.53,3742,47348740000.0,,2923,0.7811
2007-02-21,WANBURY,EQ,125.5,128.8,138.35,122.0,136.0,135.3,132.88,22769,302559100000.0,,12897,0.5664
2007-02-22,WANBURY,EQ,135.3,138.9,142.0,129.0,130.0,136.8,134.51,22092,297166035000.0,,14024,0.6348
2007-02-23,WANBURY,EQ,136.8,134.0,135.5,125.2,127.95,126.7,129.98,6611,85926695000.0,,3628,0.5488000000000001
2007-02-26,WANBURY,EQ,126.7,124.55,132.0,124.55,127.1,127.25,127.51,51373,655049290000.0,,50720,0.9873000000000001
2007-02-27,WANBURY,EQ,127.25,126.55,129.0,125.0,125.0,125.25,128.18,6305,80820310000.0,,4813,0.7634000000000001
2007-02-28,WANBURY,EQ,125.25,124.9,125.0,120.1,122.0,122.6,123.02,1888,23226290000.0,,1142,0.6049
2007-03-01,WANBURY,EQ,122.6,124.4,124.4,120.5,120.5,120.75,121.85,1516,18473010000.0,,655,0.43210000000000004
2007-03-02,WANBURY,EQ,120.75,118.0,124.45,118.0,119.7,120.0,122.04,1119,13656660000.0,,783,0.6997
2007-03-05,WANBURY,EQ,120.0,119.5,119.5,105.0,106.0,107.05,112.35,6186,69500100000.0,,3781,0.6112
2007-03-06,WANBURY,EQ,107.05,113.2,115.5,108.15,109.95,109.85,111.22,4356,48448825000.0,,2793,0.6412000000000001
2007-03-07,WANBURY,EQ,109.85,109.25,109.5,102.4,104.0,104.35,107.7,12297,132439889999.99998,,2942,0.23920000000000002
2007-03-08,WANBURY,EQ,104.35,104.0,104.3,100.0,104.3,103.55,101.96,7469,76155790000.0,,5370,0.7190000000000001
2007-03-09,WANBURY,EQ,103.55,106.95,108.0,102.0,103.15,104.35,104.2,7481,77954850000.0,,4388,0.5866
2007-03-12,WANBURY,EQ,104.35,105.6,109.9,105.6,108.5,108.35,108.1,2928,31652675000.0,,1700,0.5806
2007-03-13,WANBURY,EQ,108.35,108.75,108.8,105.1,105.5,105.9,106.63,3509,37417680000.0,,2041,0.5816
2007-03-14,WANBURY,EQ,105.9,101.6,108.0,101.6,107.0,107.9,105.0,630,6614735000.000001,,228,0.3619
2007-03-15,WANBURY,EQ,107.9,102.0,110.0,102.0,109.0,108.8,108.67,4537,49305810000.0,,2802,0.6176
2007-03-16,WANBURY,EQ,108.8,107.05,107.05,103.05,105.0,104.7,105.34,1668,17571435000.0,,1074,0.6439
2007-03-19,WANBURY,EQ,104.7,104.95,106.85,104.95,105.0,105.8,105.58,528,5574465000.0,,380,0.7197
2007-03-20,WANBURY,EQ,105.8,107.0,107.0,105.6,107.0,106.2,106.46,807,8591130000.0,,627,0.777
2007-03-21,WANBURY,EQ,106.2,104.4,107.4,104.4,105.0,104.9,105.65,462,4881035000.0,,310,0.6709999999999999
2007-03-22,WANBURY,EQ,104.9,106.0,117.0,101.1,111.2,111.05,107.66,17069,183763645000.0,,7856,0.46020000000000005
2007-03-23,WANBURY,EQ,111.05,114.4,117.0,110.0,117.0,112.9,113.01,7294,82430515000.0,,4961,0.6801
2007-03-26,WANBURY,EQ,112.9,113.0,116.0,112.0,115.0,113.45,114.41,2708,30981125000.0,,2186,0.8072
2007-03-28,WANBURY,EQ,113.45,113.5,113.5,107.0,112.5,110.1,110.36,15346,169356905000.0,,14058,0.9161
