Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-04,WORTH,EQ,43.5,47.7,52.0,45.0,47.0,47.75,47.81,52489,250975985000.0,452,33508,0.6384000000000001
2020-08-05,WORTH,EQ,47.75,48.95,50.75,46.7,49.6,48.05,49.23,34722,170920510000.0,189,29859,0.8599
2020-08-06,WORTH,EQ,48.05,48.15,49.0,47.1,47.5,47.75,47.76,5646,26967795000.0,49,2064,0.36560000000000004
2020-08-07,WORTH,EQ,47.75,49.0,49.0,46.2,46.2,46.4,47.89,4122,19740615000.0,50,3732,0.9054000000000001
2020-08-10,WORTH,EQ,46.4,51.45,51.45,44.4,48.7,48.8,46.56,7415,34522475000.0,118,5024,0.6775
2020-08-11,WORTH,EQ,48.8,48.8,48.8,46.05,47.0,46.45,47.57,12157,57836469999.99999,119,11329,0.9319
2020-08-12,WORTH,EQ,46.45,46.65,47.85,46.15,46.5,46.9,46.93,3593,16861665000.0,33,3093,0.8608
2020-08-13,WORTH,EQ,46.9,47.3,47.3,43.25,45.15,45.4,45.62,7208,32886480000.0,144,4639,0.6436000000000001
2020-08-14,WORTH,EQ,45.4,46.7,46.7,45.5,45.55,45.55,46.24,965,4462515000.0,35,808,0.8373
2020-08-17,WORTH,EQ,45.55,48.0,48.0,43.7,45.5,44.95,45.78,7235,33118970000.0,92,6527,0.9020999999999999
2020-08-18,WORTH,EQ,44.95,44.25,45.95,44.25,44.65,45.0,45.02,17511,78829895000.0,98,16558,0.9456
2020-08-19,WORTH,EQ,45.0,47.05,47.05,41.1,45.0,44.9,43.75,3754,16422260000.0,36,2734,0.7283
2020-08-20,WORTH,EQ,44.9,43.9,47.0,43.9,45.0,44.95,46.29,13139,60824069999.99999,105,10101,0.7687999999999999
2020-08-21,WORTH,EQ,44.95,44.0,46.9,42.35,44.0,44.0,44.87,13302,59690040000.0,99,8921,0.6707
2020-08-24,WORTH,EQ,44.0,44.0,44.8,42.05,43.75,43.8,43.73,7495,32775795000.0,86,6139,0.8190999999999999
2020-08-25,WORTH,EQ,43.8,43.5,44.8,42.95,44.0,43.05,43.52,23404,101864500000.0,100,22172,0.9474
2020-08-26,WORTH,EQ,43.05,45.25,45.25,43.0,43.4,44.25,43.72,8347,36494825000.0,87,5996,0.7183
2020-08-27,WORTH,EQ,44.25,44.25,45.5,43.95,43.95,44.1,44.7,15879,70982485000.0,204,15669,0.9868000000000001
2020-08-28,WORTH,EQ,44.1,44.45,44.5,41.5,42.9,42.5,42.88,10387,44539250000.0,137,8740,0.8414
2020-08-31,WORTH,EQ,42.5,42.55,44.0,42.0,42.0,42.05,42.68,3193,13627500000.0,66,2813,0.881
2020-09-01,WORTH,EQ,42.05,41.9,42.8,37.85,40.85,40.15,40.41,11987,48440420000.0,118,8046,0.6712
2020-09-02,WORTH,EQ,40.15,43.75,48.15,40.0,48.15,48.15,47.34,149379,707148270000.0,553,134409,0.8998
2020-09-03,WORTH,EQ,48.15,53.8,57.75,51.15,52.5,52.05,53.99,239871,1295158940000.0,3442,91575,0.38180000000000003
2020-09-04,WORTH,EQ,52.05,53.0,53.0,47.6,48.0,48.3,49.3,62401,307652515000.0,840,39085,0.6264000000000001
2020-09-07,WORTH,EQ,48.3,48.3,48.55,45.9,47.25,46.5,47.03,18857,88683585000.0,427,13013,0.6901
2020-09-08,WORTH,EQ,46.5,47.2,47.2,44.5,45.05,45.2,45.78,13321,60987425000.0,181,10152,0.7621
2020-09-09,WORTH,EQ,45.2,45.0,45.0,42.7,43.05,43.1,43.45,8355,36306065000.0,174,7468,0.8937999999999999
2020-09-10,WORTH,EQ,43.1,43.1,51.7,42.75,46.0,45.65,47.97,193303,927350169999.9999,1219,94274,0.4877
2020-09-11,WORTH,EQ,45.65,44.7,49.0,43.25,45.0,45.0,45.54,27092,123372570000.0,494,16817,0.6207
2020-09-14,WORTH,EQ,45.0,45.25,47.0,43.65,44.5,45.3,45.76,80010,366144740000.0,354,55146,0.6892
2020-09-15,WORTH,EQ,45.3,45.3,47.75,43.7,45.6,46.0,45.47,27652,125735825000.0,232,21529,0.7786
2020-09-16,WORTH,EQ,46.0,45.6,47.6,44.5,44.55,44.9,44.99,20562,92504280000.0,169,17287,0.8407
2020-09-17,WORTH,EQ,44.9,43.7,45.0,43.3,44.85,44.2,44.22,18094,80011620000.0,218,13023,0.7197
2020-09-18,WORTH,EQ,44.2,44.0,45.0,43.4,43.4,43.55,44.0,19993,87969505000.0,241,14850,0.7428
2020-09-21,WORTH,EQ,43.55,44.15,44.9,40.7,41.3,41.45,42.78,23989,102626020000.0,284,14859,0.6194
2020-09-22,WORTH,EQ,41.45,43.95,44.0,40.6,41.75,41.45,41.34,8111,33531580000.0,142,5168,0.6372
2020-09-23,WORTH,EQ,41.45,40.6,42.65,39.0,40.25,40.0,40.43,42698,172639035000.0,432,19956,0.46740000000000004
2020-09-24,WORTH,EQ,40.0,39.95,44.0,38.4,41.95,41.85,40.9,14021,57351825000.0,243,8840,0.6305
2020-09-25,WORTH,EQ,41.85,41.85,44.85,40.05,43.15,43.1,43.13,11380,49076320000.0,208,7152,0.6285000000000001
2020-09-28,WORTH,EQ,43.1,41.65,44.75,41.65,43.95,43.85,43.92,28302,124294245000.0,149,24966,0.8821
2020-09-29,WORTH,EQ,43.85,43.05,45.15,43.05,44.05,44.5,44.17,7234,31953480000.0,94,3305,0.4569
2020-09-30,WORTH,EQ,44.5,43.0,45.25,41.75,44.0,43.9,43.76,3269,14304395000.000002,60,1255,0.3839
2020-10-01,WORTH,EQ,43.9,43.9,45.2,42.0,43.95,43.9,43.8,4242,18578755000.0,44,3309,0.7801
2020-10-05,WORTH,EQ,43.9,42.7,45.5,42.7,45.45,45.05,44.8,21188,94916615000.0,95,18691,0.8822
2020-10-06,WORTH,EQ,45.05,44.9,45.85,42.6,44.05,44.1,44.07,8199,36131800000.0,126,5629,0.6865000000000001
2020-10-07,WORTH,EQ,44.1,44.0,45.3,41.25,41.7,42.0,42.71,31346,133865030000.0,196,24123,0.7696
2020-10-08,WORTH,EQ,42.0,42.5,44.5,41.0,42.0,42.45,42.4,22654,96049800000.0,196,13319,0.5879
2020-10-09,WORTH,EQ,42.45,42.9,43.3,42.0,42.7,42.2,42.9,27331,117245585000.00002,94,24813,0.9079
2020-10-12,WORTH,EQ,42.2,41.95,44.5,41.2,42.8,42.35,43.09,18355,79095455000.0,148,13150,0.7164
2020-10-13,WORTH,EQ,42.35,42.3,44.9,41.95,42.0,42.05,43.52,60359,262659079999.99997,227,51310,0.8501000000000001
2020-10-14,WORTH,EQ,42.05,42.15,43.4,42.1,42.1,42.2,42.69,4092,17468640000.0,40,3115,0.7612000000000001
2020-10-15,WORTH,EQ,42.2,43.15,43.5,40.75,41.9,41.8,41.85,9823,41113915000.0,76,6150,0.6261
2020-10-16,WORTH,EQ,41.8,41.1,42.3,40.55,41.5,41.5,41.44,2353,9751300000.0,41,1328,0.5644
2020-10-19,WORTH,EQ,41.5,42.6,43.0,40.6,41.7,41.7,42.52,8904,37863865000.0,63,6001,0.674
2020-10-20,WORTH,EQ,41.7,42.3,44.25,41.55,42.0,42.1,42.64,26914,114749045000.0,135,21703,0.8064
2020-10-21,WORTH,EQ,42.1,43.05,43.05,41.55,42.35,42.55,42.34,3747,15865160000.0,40,2466,0.6581
2020-10-22,WORTH,EQ,42.55,42.0,44.9,41.6,42.0,42.0,42.46,60956,258810860000.0,254,50066,0.8212999999999999
2020-10-23,WORTH,EQ,42.0,41.65,43.0,40.0,40.4,40.95,41.14,13521,55626605000.00001,79,12177,0.9006000000000001
2020-10-26,WORTH,EQ,40.95,40.75,41.8,40.75,41.2,41.2,41.22,3662,15093825000.0,29,3126,0.8536
2020-10-27,WORTH,EQ,41.2,40.9,42.5,40.25,41.55,41.0,41.16,4610,18974065000.0,76,3785,0.821
