Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-04-30,ZENITHBIR,EQ,33.1,37.85,37.85,34.2,34.35,34.6,35.46,77234,273836065000.0,,15668,0.2029
2007-05-03,ZENITHBIR,EQ,34.6,35.5,35.5,33.1,34.0,34.1,34.43,11791,40599790000.0,,8396,0.7121
2007-05-04,ZENITHBIR,EQ,34.1,35.25,35.25,32.95,33.75,33.35,33.58,8022,26941534999.999996,,6472,0.8068000000000001
2007-05-07,ZENITHBIR,EQ,33.35,33.55,33.95,32.05,33.6,33.6,33.1,3501,11587890000.0,,2739,0.7823000000000001
2007-05-08,ZENITHBIR,EQ,33.6,33.5,33.6,32.5,32.95,32.8,32.93,2677,8815800000.0,,1730,0.6462000000000001
2007-05-09,ZENITHBIR,EQ,32.8,34.0,34.0,30.0,32.75,32.5,31.93,5525,17638645000.0,,3447,0.6239
2007-05-10,ZENITHBIR,EQ,32.5,33.4,33.5,32.1,32.4,32.45,32.85,125844,413378925000.0,,125415,0.9966
2007-05-11,ZENITHBIR,EQ,32.45,32.3,33.0,31.8,32.35,32.45,32.52,2989,9720150000.0,,2642,0.8839
2007-05-14,ZENITHBIR,EQ,32.45,31.4,33.75,31.4,32.05,32.4,32.64,6837,22317950000.0,,5440,0.7957
2007-05-15,ZENITHBIR,EQ,32.4,37.9,37.9,32.5,33.5,33.85,33.68,5271,17755250000.0,,4500,0.8537
2007-05-16,ZENITHBIR,EQ,33.85,33.55,37.7,33.55,35.9,35.75,35.74,29715,106209380000.0,,17320,0.5829
2007-05-17,ZENITHBIR,EQ,35.75,37.0,39.4,36.05,38.2,38.9,38.57,86043,331879245000.0,,60719,0.7057
2007-05-18,ZENITHBIR,EQ,38.9,37.75,38.65,37.1,38.3,38.0,37.97,8956,34005015000.000004,,7103,0.7931
2007-05-21,ZENITHBIR,EQ,38.0,38.0,38.75,37.6,38.25,38.45,38.27,8812,33722034999.999996,,8238,0.9349
2007-05-22,ZENITHBIR,EQ,38.45,38.25,38.85,37.7,38.25,38.35,38.46,48232,185482170000.0,,45896,0.9516
2007-05-23,ZENITHBIR,EQ,38.35,38.25,39.0,37.25,37.85,38.05,38.39,11317,43446630000.0,,10326,0.9124
2007-05-24,ZENITHBIR,EQ,38.05,37.25,37.25,35.55,35.6,35.8,36.45,4036,14709735000.0,,2913,0.7218000000000001
2007-05-25,ZENITHBIR,EQ,35.8,35.5,37.5,35.05,35.05,35.5,35.95,10435,37516215000.0,,8495,0.8140999999999999
2007-05-28,ZENITHBIR,EQ,35.5,35.05,37.0,35.05,35.15,35.5,35.68,5564,19850890000.0,,4650,0.8357
2007-05-29,ZENITHBIR,EQ,35.5,35.0,36.85,35.0,36.85,36.05,35.84,3789,13580695000.000002,,3589,0.9472
2007-05-30,ZENITHBIR,EQ,36.05,35.05,37.0,35.05,36.5,36.4,36.41,4250,15476135000.0,,3563,0.8384
2007-05-31,ZENITHBIR,EQ,36.4,37.45,38.0,35.4,36.45,36.45,36.3,6778,24601735000.0,,5348,0.789
2007-06-01,ZENITHBIR,EQ,36.45,37.85,37.85,32.0,36.35,35.9,35.49,4432,15728735000.0,,2880,0.6498
2007-06-04,ZENITHBIR,EQ,35.9,34.6,35.8,34.6,35.3,35.35,35.34,2658,9392155000.0,,2456,0.924
2007-06-05,ZENITHBIR,EQ,35.35,34.95,38.5,34.95,37.5,37.55,36.75,15613,57371475000.0,,8834,0.5658
